epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,881.016,0.52956,1.87798,1.01479,0.75263,0.86173,0.88464,0.81054,0.42001,0.71718,0.92239,0.000100773,0.000100773,0.000100773
2,1740.1,0.52892,0.87261,0.99142,0.83577,0.81645,0.84633,0.75189,0.47226,0.7242,0.94923,0.000191785,0.000191785,0.000191785
3,2604.92,0.5286,0.74318,0.99284,0.8214,0.91453,0.92233,0.84265,0.42442,0.54621,0.90888,0.000272799,0.000272799,0.000272799
4,3384.5,0.51673,0.65271,0.98841,0.87879,0.9222,0.95843,0.88048,0.4043,0.47767,0.90344,0.000258004,0.000258004,0.000258004
5,3900.85,0.47695,0.58125,0.96787,0.89611,0.97157,0.97119,0.90307,0.40744,0.34973,0.89805,0.000243006,0.000243006,0.000243006
6,4720.31,0.45244,0.51556,0.95172,0.90452,0.95498,0.97553,0.91789,0.37086,0.34046,0.88114,0.000228007,0.000228007,0.000228007
7,5497.86,0.43004,0.45899,0.94163,0.944,0.98188,0.98894,0.9381,0.36276,0.26347,0.87775,0.000213009,0.000213009,0.000213009
8,6246.34,0.41961,0.44123,0.93726,0.9489,0.99134,0.99182,0.9441,0.34971,0.2538,0.86556,0.00019801,0.00019801,0.00019801
9,7058.18,0.39807,0.40833,0.92792,0.96824,0.98137,0.9906,0.94566,0.32907,0.25224,0.85934,0.000183012,0.000183012,0.000183012
10,7924.36,0.39018,0.38082,0.92476,0.96831,0.9839,0.99197,0.94653,0.32429,0.24417,0.85072,0.000168013,0.000168013,0.000168013
11,8664.46,0.30756,0.2497,0.85248,0.96584,0.986,0.99343,0.95081,0.3228,0.22657,0.8488,0.000153015,0.000153015,0.000153015
12,9384.1,0.29872,0.22505,0.84428,0.97337,0.99367,0.9941,0.95025,0.31682,0.22552,0.84058,0.000138016,0.000138016,0.000138016
13,10114.1,0.28544,0.2165,0.83718,0.95512,0.99558,0.99276,0.95617,0.30066,0.2149,0.8372,0.000123018,0.000123018,0.000123018
14,10601.8,0.27867,0.20672,0.83798,0.95355,0.98509,0.98619,0.95197,0.29162,0.24738,0.83008,0.000108019,0.000108019,0.000108019
15,11392.8,0.26624,0.19094,0.82515,0.97862,0.9974,0.99474,0.96413,0.28509,0.18303,0.82828,9.3021e-05,9.3021e-05,9.3021e-05
16,12180.8,0.25777,0.1782,0.82186,0.98175,0.99846,0.99491,0.96334,0.27975,0.1719,0.82728,7.80225e-05,7.80225e-05,7.80225e-05
17,13001,0.25081,0.16568,0.82109,0.97077,0.99726,0.99478,0.96696,0.27453,0.16768,0.82173,6.3024e-05,6.3024e-05,6.3024e-05
18,13600.3,0.24164,0.1587,0.82001,0.97976,0.99953,0.995,0.97063,0.26242,0.1525,0.81763,4.80255e-05,4.80255e-05,4.80255e-05
19,14376.4,0.23219,0.14889,0.82158,0.97826,0.99863,0.995,0.9698,0.25327,0.15171,0.81497,3.3027e-05,3.3027e-05,3.3027e-05
20,15081.3,0.22592,0.14306,0.81652,0.98436,0.9967,0.995,0.97222,0.24773,0.14568,0.81107,1.80285e-05,1.80285e-05,1.80285e-05
